client_id,churn_risk_score,predicted_churn
CQ98L51OGUZB,1.0,1
2RC83NTCGS0S,0.9994857686049113,1
DIVA3JGEV609,0.998934056286936,1
EW0ZRV4SUNUH,0.9981146644338115,1
YL28BOCXW2YD,0.9971384433040726,1
M8MT29KKWDMV,0.9960569324871352,1
EI8Z4SEHJV17,0.9959122767342485,1
04FTCRKHT3AU,0.9949394205517204,1
3HHY826MUWJY,0.9946877380868279,1
TTKN1OC8K1J0,0.9944731685850885,1
MK96I8B1SIOU,0.9943958879001535,1
T7B212F1CCAH,0.9932995959177239,1
59VKVICB2XJ1,0.9931601124787482,1
00Z3MS5XXZDA,0.9929028089058951,1
L72KHJ5A4D5J,0.9924087837847467,1
8HNYKRS1HDR4,0.9911950801595723,1
K6M187ZUK2P5,0.9906381355231961,1
9K9UDO04ZKXD,0.9904707257693867,1
25HX1VUNA15A,0.9904417974999158,1
H2DH4T3XUT4B,0.9902929413950642,1
1M02TAPE6JD8,0.9896663974637955,1
LX882HZW7HHO,0.9893763818205583,1
9B7KL23QRI2C,0.9886955516285315,1
GSMP0GSLB6LM,0.9884502219572491,1
EAZ39CXN367X,0.9884305899153091,1
83BR3JF54KS1,0.9835108050169095,1
47KKAZENBWS0,0.9829889369664279,1
H5WISSU7RP8C,0.9826108067374161,1
RURIE82IIBV0,0.98156607469575,1
MW17MRPP1LZ4,0.9813964469520666,1
CMZZXIBMIMOS,0.9795638016022988,1
18OAPAUPBS9X,0.9781516509498592,1
LYH8DUG2LLZG,0.977637746943429,1
P9X3EK4XRG8N,0.9765660952676644,1
ROHL0DWA4GXJ,0.9745371949965851,1
WRA9RXKENJUK,0.9738569363173876,1
QFM2TUXF4WV5,0.9737572905274001,1
9ZERGGDQ1BVU,0.9735053743671148,1
A41MB6UBB5P2,0.9714007074395195,1
3XIZ5V1ERJ8U,0.9705874863469378,1
DO062VGNR0OZ,0.9705022676476213,1
C6B6DNP7GUMO,0.9702743173472117,1
RABWQIUSHC7C,0.9701106040204756,1
I80XP5WWSP4C,0.9691535114721503,1
5RCL146LGM52,0.9689465190241239,1
T1FABJ3ESRB1,0.9685788081318901,1
456MC8XU7CWC,0.9681457403702655,1
NOWTFL8TG0WH,0.9674187071065626,1
KUNBTXE9LABR,0.9669214367079251,1
SUBOIA2JQYZI,0.9651745075860086,1
EPBRTNUS3Q3R,0.9648712117113333,1
683CAYO09R8Q,0.9636399317781688,1
YJPE19VX22ZS,0.9624322580286043,1
8BR9I4C00EZ8,0.96085942531694,1
9NIQWGX9ZPI6,0.96074506821522,1
9O3AR1X29XXI,0.960133544011286,1
56XESSK9383E,0.9598317880181534,1
8K8FPHLVV9NL,0.9591841786614463,1
4VHUM0AHPBJ5,0.957569184039504,1
M0EXMUKQAEN8,0.9566321039467547,1
ICPU2XENRLRO,0.9536404696218705,1
7DYDTQF9CEX9,0.9528695321944538,1
XBSN4905303I,0.9528527359438586,1
KSYSSHQQPEJN,0.9522941520523666,1
I5AVA2H5VMZN,0.952282981270663,1
V9MXYIO1OS2V,0.951537794890995,1
