client_id,tenure_years,n_products,has_loan,receives_salary,avg_txn_per_month,avg_txn_amount,txn_trend,avg_balance,balance_trend,n_contacts,age,credit_rating,has_deposit,digital_txn_ratio,debit_credit_ratio,balance_volatility,txn_amount_std,recency_days,n_complaint_contacts,avg_product_age_years,churned
5PTAM2YERE3C,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,67,3.0,0,0.0,0.0,0.0,0.0,275.0,0.0,15.080082135523615,0
FCGKLXR0ZUZY,0.9281314168377823,2,0,0,8.571428571428571,210.0975,-3.2857142857142856,494.8390740740741,-55.984642857142866,0.0,68,5.0,0,0.0,6.625,254.85170942651934,543.1373041488227,82.0,0.0,0.8980150581793293,0
FJDXPD5P2V8W,19.67693360711841,1,0,0,2.0,250.0,0.0,0.0,0.0,0.0,83,3.0,0,0.0,2.0,0.0,70.71067811865476,150.0,0.0,3.89596167008898,0
YZD7215N4UG2,22.765229295003422,3,0,0,4.875,85.1002564102564,-0.36904761904761907,420.349298245614,-73.29113095238097,0.0,79,3.0,0,0.0,4.0,211.79025054178862,105.94626049601949,55.0,0.0,10.984257357973991,0
S21NUGJT1DBM,19.67693360711841,1,0,0,1.4444444444444444,232.30769230769232,-7.401486830834377e-18,0.0,0.0,0.0,46,3.0,0,0.0,13.0,0.0,169.172192659523,15.0,0.0,5.711156741957564,0
GG7G0BOJ3WAI,29.76865160848734,3,0,1,3.888888888888889,237.5822857142857,0.15,4849.778556701031,75.02999999999999,0.0,76,3.0,0,0.0,0.2,348.60666235784635,280.7528066915985,12.0,0.0,21.26032397900981,0
7KO2HEZR81U3,0.8980150581793293,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,45,3.0,0,0.0,0.0,0.0,0.0,275.0,0.0,0.8898015058179329,0
DDD2TUV2LNB1,11.83025325119781,4,0,0,5.111111111111111,25.647391304347824,-0.08333333333333333,37.67743243243243,0.18841666666666654,0.0,59,3.0,0,0.0,2.357142857142857,14.080759503465872,24.262910097035178,2.0,0.0,9.564681724845997,0
NCG28L4ZJ28A,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,73,3.0,0,0.0,0.0,0.0,0.0,275.0,0.0,2.3600273785078714,0
GKUI7FGJYNDF,19.67693360711841,1,0,0,1.5,283.3333333333333,0.3333333333333333,0.0,0.0,0.0,89,3.0,0,0.0,3.0,0.0,189.29694486000912,173.0,0.0,5.845311430527036,0
