client_id,tenure_years,n_products,has_loan,receives_salary,avg_txn_per_month,avg_txn_amount,txn_trend,avg_balance,balance_trend,n_contacts,churned
PGWJIM4LCIS2,13.801505817932922,1,0,0,17.88888888888889,32.07813664596273,0.55,0.0,0.0,0.0,0
QWECG6RV8NKI,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
4ITSJ8QA3XRN,19.67693360711841,2,0,0,5.222222222222222,145.16574468085108,-0.2,0.0,0.0,0.0,0
ZM7FW1JL7FML,19.67693360711841,1,0,0,35.77777777777778,20.03944099378882,6.666666666666667,0.0,0.0,0.0,0
7E5ZMQANFFVP,17.234770704996578,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
KEL4RG4GH0O7,2.8145106091718,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0
6U1U8P5ROGLB,9.91649555099247,8,0,1,20.33333333333333,467.55284153005465,0.1,11859.304077669904,-22.28166666666665,2.0,0
HQTNOLGKA2JH,17.371663244353183,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
M0EXMUKQAEN8,2.190280629705681,1,0,0,1.0,0.1766666666666666,0.0,20529.935,0.172500000000097,0.0,1
QDEVZ49IL8JE,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
SDAJ56O1OTP2,0.8898015058179329,1,0,0,1.8333333333333333,1.6354545454545453,-0.0285714285714285,25.53090909090909,-4.65125,0.0,0
DWT60SVVM3WR,9.905544147843942,7,1,1,39.44444444444444,235.17335211267604,-1.3333333333333333,-10844.551741293531,207.83466666666664,3.0,0
EI0UWLZRKLV7,19.67693360711841,1,0,0,3.142857142857143,85.37954545454546,-0.3671874999999999,0.0,0.0,0.0,0
Q9QDKXJ1XQ1Z,27.526351813826142,6,0,1,3.888888888888889,523.3717142857142,0.1333333333333333,186.88634615384612,-2.86225,0.0,0
9TX14TJ5MN40,26.220396988364133,4,0,1,2.142857142857143,209.2433333333333,-0.1223404255319148,6672.739090909091,418.0121666666666,0.0,0
JJPLPCCYXROA,10.38466803559206,2,0,0,0.0,0.0,0.0,7.371,0.0003333333333333,0.0,0
AA3Y5LX00PSA,9.713894592744696,2,0,0,19.25,41.53681818181818,-1.1077694235588973,0.0,0.0,0.0,0
9BUCC1WG8YYU,9.5523613963039,7,0,0,1.4444444444444444,1182.436153846154,0.0499999999999999,10451.557777777778,-67.53799999999993,0.0,0
WQ22N9XR4130,16.80766598220397,1,0,0,1.0,23.39,0.0,0.0,0.0,0.0,0
9ONFT6JBHF94,27.526351813826142,3,0,1,2.0,39.44611111111111,0.0833333333333333,27297.91388888889,76.07783333333336,0.0,0
EOBO59XDGFW8,10.047912388774812,7,0,1,17.0,119.24313725490197,0.55,1517.0101183431952,-9.596499999999988,0.0,0
4GC6Y0QZ49JH,19.134839151266256,1,0,0,7.833333333333333,16.439148936170213,0.7714285714285715,0.0,0.0,0.0,0
BDFMD3X3HXIZ,6.74880219028063,3,0,0,1.75,222.8571428571429,-0.3,0.0,0.0,0.0,0
0HYX2B03G823,10.124572210814511,19,1,1,51.77777777777778,121.85435622317596,1.3666666666666667,-2260.7669415807563,-1.1338333333333324,1.0,0
KBVYHZ7V1NTM,19.479808350444905,3,0,0,1.0,1.89,0.0,164.77450000000002,-1.904416666666665,0.0,0
VVPB23ENLY96,22.888432580424368,3,0,0,3.888888888888889,137.9142857142857,-0.55,2251.728363636364,66.49941666666665,0.0,0
QCX591EBLARW,26.12457221081451,3,0,1,11.333333333333334,216.50794117647052,0.6166666666666667,16127.272592592592,-136.3559999999998,0.0,0
WH8V9591LY7O,27.550992470910334,5,1,0,32.57142857142857,73.90122807017543,-3.0357142857142856,-425.2451948051949,-177.1457142857143,0.0,0
YVSLZ9TMQTR9,8.687200547570157,2,0,0,1.0,1.89,0.0,50.095,-1.8900000000000008,0.0,0
9Q6TN2TQMA7Y,8.498288843258042,3,0,1,5.888888888888889,185.052641509434,-0.1,353.4979591836735,4.02325,0.0,0
CNPM2V00Z5AC,19.67693360711841,2,0,0,1.3333333333333333,217.875,0.0307692307692307,0.0,0.0,0.0,0
EJ9L3492YZIY,9.8507871321013,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
GKL22FIO33ZT,2.4996577686516086,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
OSC4DZHOQ4FM,1.9548254620123204,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VQOK43ZTFHD7,11.080082135523616,3,0,0,15.22222222222222,39.07678832116789,-0.1166666666666666,78.22647058823529,3.9465,0.0,0
JEKYBUZRHSL3,12.292950034223136,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
HPIWMWJ2WQUI,8.878850102669405,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
RZIJL37UQ1ET,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1HRG7Q029HI4,19.67693360711841,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
MKUWBPKB5124,5.040383299110198,3,0,1,2.7777777777777777,220.188,0.0166666666666666,2354.71641025641,47.93816666666669,0.0,0
8ITF8UML7XWB,10.143737166324437,1,0,0,0.0,0.0,0.0,3.31,0.0,0.0,0
ZAZ89K300LQG,10.173853524982889,6,0,1,4.777777777777778,107.70325581395348,0.5166666666666666,518.0025342465754,-5.814333333333335,0.0,0
9Z3A9USLX9K9,28.88980150581793,1,0,0,9.0,31.341234567901232,0.4666666666666667,0.0,0.0,0.0,0
X27STFWXQJZM,13.623545516769337,4,0,1,23.444444444444443,66.20914691943128,0.15,20095.123376623374,689.4963333333334,0.0,0
WUWIF8K02IEY,17.084188911704313,6,0,1,8.555555555555555,177.70181818181817,-0.0333333333333333,301.67915492957746,36.15466666666666,0.0,0
982TYI4IF708,26.220396988364133,8,0,1,4.888888888888889,304.8036363636364,-0.0166666666666666,17406.733214285716,648.6668333333332,0.0,0
5VKAMCPIM54M,23.978097193702943,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
JQIYTPIFDANH,19.67693360711841,1,0,0,1.25,32.07,-0.1333333333333333,0.0,0.0,1.0,0
UO3SHPPARRQX,8.862422997946611,1,0,0,2.0,225.0,0.0,0.0,0.0,0.0,0
ZOI7XV89RKUZ,25.259411362080765,1,0,0,1.0,38.92,0.0,2708.7144444444443,39.5745833333333,0.0,0
OVN87PR6LNSM,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ED6PSVCNN9HM,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0E7XQQS28D89,19.67693360711841,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
N0YP6WYHIF7N,28.72826830937714,3,0,0,4.888888888888889,255.29204545454547,-0.0333333333333333,56.702063492063495,-12.594666666666663,0.0,0
XXWPMDTV71S0,3.2826830937713893,1,0,0,19.33333333333333,24.792758620689654,-0.0333333333333332,0.0,0.0,0.0,0
LBE7601NXVLT,17.976728268309376,3,0,0,1.0,1.5766666666666664,0.0,202.57,-1.8881666666666657,0.0,0
Q3FKXTP9FKV5,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
UP5QWD63F3GO,26.14647501711157,4,0,1,23.77777777777778,69.93154205607476,0.6666666666666666,1450.0119047619048,142.22716666666668,0.0,0
4CLZ8CWDZBFV,1.0349075975359343,6,1,1,21.88888888888889,295.6992893401016,2.583333333333333,-1627.733680981595,-44.74641666666666,0.0,0
5IN3MKXJZEZL,0.4298425735797399,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
KW3YBCKGN2N9,6.524298425735798,1,0,0,1.4444444444444444,164.6153846153846,0.0666666666666666,0.0,0.0,0.0,0
UWV4V75QN1FL,19.67693360711841,1,0,0,10.22222222222222,33.62141304347826,-0.7833333333333333,0.0,0.0,0.0,0
9C10TGEXRBSR,8.44079397672827,1,0,0,8.777777777777779,36.49392405063291,-0.3,0.0,0.0,0.0,0
YE49HBDYSS9E,8.202600958247775,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
N1YV8XQAK6OX,18.89390828199863,2,0,0,8.375,75.8779104477612,1.3666666666666667,0.0,0.0,0.0,0
7HP4Q27B35XM,23.65776865160849,5,0,0,8.333333333333334,202.09653333333333,0.15,301.6889010989011,-20.9945,0.0,0
SH67N87JCNX0,10.143737166324437,4,0,0,2.0,27510.005,0.0,26286.96782608696,1833.9976666666664,0.0,0
QH2HC8UM9U8J,29.68651608487337,3,0,1,3.2222222222222223,306.1031034482759,-0.0833333333333333,170.1902,-10.589666666666664,0.0,0
GII33IGY786S,13.478439425051334,2,0,0,0.0,0.0,0.0,0.76,0.0,0.0,0
T0QTRB285ZQT,26.954140999315538,1,0,0,0.0,0.0,0.0,412.775,0.0016666666666651,0.0,0
RHCJ00SIERX3,17.51403148528405,4,0,0,3.7777777777777777,126.66823529411764,0.05,2348.134181818182,3.416583333333362,2.0,0
P7CHRH1OEQ02,27.498973305954827,3,0,1,2.555555555555556,233.93260869565216,0.0,98.06230769230768,-0.04375,0.0,0
26WXC8RRIY76,19.67693360711841,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
WJ40KE6F6URP,5.8699520876112254,1,0,0,7.777777777777778,53.58928571428572,0.0999999999999999,0.0,0.0,0.0,0
NFKFQUOWN4MA,21.14168377823409,1,0,0,9.11111111111111,62.33243902439025,0.1666666666666666,0.0,0.0,0.0,0
TK392HIU0SKW,29.76865160848734,5,0,1,4.111111111111111,223.9891891891892,0.1,50878.7385,1198.43425,0.0,0
S0AZGWHXH4DN,19.67693360711841,2,0,0,3.2222222222222223,160.06275862068964,0.0,0.0,0.0,0.0,0
8C25CD56QBWT,12.799452429842573,1,0,0,4.333333333333333,13.153846153846152,-1.0,0.0,0.0,0.0,0
G64SVOH0CNLO,10.33264887063655,4,0,0,1.5555555555555556,55.045,0.1166666666666666,22.62609756097561,-2.221083333333333,0.0,0
QK5GS12UC4UR,2.5023956194387407,1,0,0,2.0,35.0,0.0,0.0,0.0,0.0,0
865IEBSWOC5Q,10.088980150581794,12,1,1,54.22222222222222,101.8669262295082,-2.7000000000000006,-1216.1393086419753,-17.14383333333333,2.0,0
YZPV86LXDIO9,14.1492128678987,4,0,1,48.77777777777778,42.2623006833713,1.9333333333333331,480.1297196261682,18.267000000000007,0.0,0
MSQGYP9JTKJR,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
NZKVBERD4FCN,1.6919917864476386,2,0,0,2.5,7444.434999999999,0.1496598639455782,5089.087096774194,-294.3260833333332,0.0,1
FMKP9FV452QP,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
E3W0HKRAVSPC,29.76865160848734,4,0,1,4.666666666666667,246.21452380952385,-0.6666666666666666,2550.603787878788,176.1798333333333,0.0,0
D3IDDWWUZNZ2,19.67693360711841,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2Q2PFIXAN4I5,28.309377138945926,3,0,0,3.4444444444444446,131.61225806451614,-0.4,38.56180327868852,0.82,0.0,0
